1	160	9.0
1	161	8.0
1	164	7.0
1	167	8.0
1	202	9.0
1	259	7.0
1	631	10.0
1	1119	9.0
1	1427	9.0
1	1440	9.0
1	1714	9.0
1	1893	9.0
1	2072	9.0
1	2565	9.0
1	2566	9.0
1	2864	8.0
1	2955	9.0
1	4156	8.0
1	4810	5.0
1	5404	8.0
1	5988	6.0
1	6229	10.0
1	6244	7.0
1	6251	9.0
1	6252	5.0
1	6254	8.0
1	6260	8.0
1	6264	7.0
1	6265	8.0
1	6266	6.0
2	44	10.0
2	107	10.0
2	228	10.0
2	407	10.0
2	408	9.0
2	410	7.0
2	411	9.0
2	412	10.0
2	414	9.0
2	415	10.0
2	417	10.0
2	418	8.0
2	419	9.0
2	423	10.0
2	424	10.0
2	425	9.0
2	427	8.0
2	428	10.0
2	429	10.0
2	430	9.0
2	433	10.0
2	437	8.0
2	438	10.0
2	440	9.0
2	455	10.0
2	616	8.0
2	1067	9.0
2	1159	10.0
2	1208	9.0
2	1560	10.0
2	2834	9.0
2	5096	9.0
2	5691	10.0
2	6301	9.0
5	168	10.0
5	376	10.0
5	407	10.0
5	519	6.0
5	644	5.0
5	645	7.0
5	648	10.0
5	649	4.0
5	651	10.0
5	716	5.0
5	949	10.0
5	976	10.0
5	1018	10.0
5	1291	9.0
5	1419	6.0
5	2957	10.0
5	6046	10.0
5	6309	10.0
5	6317	8.0
5	6318	10.0
5	6320	9.0
5	6322	10.0
5	6326	9.0
5	6327	5.0
5	6328	5.0
5	7200	10.0
5	11701	9.0
7	74	7.0
7	790	8.0
7	791	7.0
7	792	7.0
7	793	6.0
7	799	7.0
7	800	8.0
7	801	7.0
7	805	6.0
7	807	6.0
7	808	7.0
7	809	7.0
7	811	5.0
7	813	8.0
7	815	7.0
7	820	7.0
7	821	9.0
7	822	7.0
7	823	8.0
9	109	5.0
9	138	5.0
9	143	10.0
9	180	5.0
9	276	10.0
9	351	8.0
9	388	8.0
9	825	10.0
9	982	4.0
9	984	10.0
9	987	10.0
9	989	4.0
9	1082	4.0
9	2399	7.0
9	2842	4.0
9	3052	5.0
9	5433	10.0
9	5485	10.0
9	6368	5.0
9	6369	3.0
9	6372	7.0
9	6374	9.0
11	8	1.0
11	307	7.0
11	325	8.0
11	526	5.0
11	716	9.0
11	793	5.0
11	1132	6.0
11	1134	8.0
11	1135	10.0
11	1136	10.0
11	1139	10.0
11	1140	7.0
11	1141	5.0
11	1142	5.0
11	1143	6.0
11	1144	6.0
11	1426	9.0
11	1818	10.0
11	1967	9.0
11	2041	9.0
11	2464	8.0
11	2768	9.0
11	3080	7.0
11	5701	7.0
11	6377	7.0
11	6378	10.0
11	6379	4.0
11	6381	7.0
11	6383	7.0
11	6385	7.0
11	6388	9.0
11	6393	7.0
11	6396	8.0
11	6397	8.0
11	6401	10.0
11	6403	9.0
11	6406	7.0
11	6407	5.0
11	6877	7.0
14	741	10.0
14	924	9.0
14	1287	8.0
14	1288	8.0
14	1294	10.0
14	1440	9.0
14	1524	10.0
14	1645	10.0
14	1808	10.0
14	1810	10.0
14	1833	10.0
14	1893	9.0
14	1923	10.0
14	2067	9.0
14	2132	10.0
14	2172	10.0
14	2565	9.0
14	2566	9.0
14	4139	8.0
14	5304	8.0
14	5375	10.0
14	5922	10.0
14	5931	8.0
14	6146	10.0
14	6162	10.0
14	6429	10.0
14	6430	9.0
14	6431	8.0
14	6432	8.0
14	6433	10.0
14	6434	10.0
14	6436	10.0
14	6437	10.0
14	6438	10.0
14	6439	8.0
14	6440	10.0
14	6441	9.0
14	6442	7.0
14	6443	8.0
14	6445	10.0
14	6446	10.0
14	6447	10.0
14	6448	10.0
14	6449	10.0
14	6450	10.0
14	6451	10.0
14	6452	10.0
14	6453	8.0
14	6458	6.0
14	6459	6.0
14	6462	7.0
14	9861	7.0
16	21	4.0
16	81	10.0
16	110	9.0
16	261	10.0
16	416	5.0
16	571	9.0
16	995	9.0
16	1324	8.0
16	1469	10.0
16	1471	8.0
16	1529	8.0
16	1587	9.0
16	1640	10.0
16	1705	8.0
16	1811	10.0
16	1832	10.0
16	2801	8.0
16	3267	10.0
16	3424	8.0
16	3547	9.0
16	3611	9.0
16	3747	9.0
16	3810	8.0
16	4233	10.0
16	4665	10.0
16	5304	10.0
16	5575	5.0
16	5641	5.0
16	5714	9.0
16	5727	7.0
16	5787	10.0
16	5969	6.0
16	6290	10.0
16	6432	10.0
16	6433	10.0
16	6494	10.0
16	6503	10.0
16	6506	9.0
16	6507	7.0
16	6509	8.0
16	6511	8.0
16	6512	9.0
16	6513	10.0
16	6515	10.0
16	6517	10.0
16	6519	9.0
16	6523	9.0
16	6524	9.0
16	6525	9.0
16	6527	9.0
16	6528	8.0
16	6529	10.0
16	6530	9.0
16	6533	10.0
16	6534	10.0
16	6535	8.0
16	6540	7.0
16	6542	5.0
16	6544	5.0
16	6546	9.0
16	6548	10.0
16	6551	9.0
16	6552	9.0
16	6553	9.0
16	6556	8.0
16	6559	10.0
18	8	6.0
18	14	10.0
18	15	9.0
18	228	9.0
18	385	10.0
18	485	8.0
18	761	8.0
18	855	9.0
18	856	8.0
18	1039	7.0
18	1268	7.0
18	1271	6.0
18	1517	5.0
18	1601	8.0
18	1681	7.0
18	1701	6.0
18	1715	6.0
18	1965	8.0
